,ciudad_origen,ciudad_destino,duracion(min),aerolinea,precio,fecha_salida,hora_salida,fecha_llegada,hora_llegada
0,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 10:30:00,2024-11-01,2024-10-20 11:40:00
1,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 20:50:00,2024-11-03,2024-10-20 22:05:00
2,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 10:30:00,2024-11-01,2024-10-20 11:40:00
3,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 08:30:00,2024-11-03,2024-10-20 09:45:00
4,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 19:00:00,2024-11-01,2024-10-20 20:10:00
5,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 20:50:00,2024-11-03,2024-10-20 22:05:00
6,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 06:35:00,2024-11-01,2024-10-20 07:45:00
7,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 20:50:00,2024-11-03,2024-10-20 22:05:00
8,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 19:00:00,2024-11-01,2024-10-20 20:10:00
9,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 08:30:00,2024-11-03,2024-10-20 09:45:00
10,Madrid,Málaga,75,Iberia Express,354.26,2024-11-01,2024-10-20 11:25:00,2024-11-01,2024-10-20 12:40:00
11,Málaga,Madrid,80,Iberia Express,354.26,2024-11-03,2024-10-20 09:10:00,2024-11-03,2024-10-20 10:30:00
12,Madrid,Málaga,80,Iberia Express,354.26,2024-11-01,2024-10-20 15:45:00,2024-11-01,2024-10-20 17:05:00
13,Málaga,Madrid,80,Iberia Express,354.26,2024-11-03,2024-10-20 09:10:00,2024-11-03,2024-10-20 10:30:00
14,Madrid,Málaga,75,Iberia,354.26,2024-11-01,2024-10-20 11:25:00,2024-11-01,2024-10-20 12:40:00
15,Málaga,Madrid,80,Iberia,354.26,2024-11-03,2024-10-20 09:10:00,2024-11-03,2024-10-20 10:30:00
16,Madrid,Málaga,80,Iberia,354.26,2024-11-01,2024-10-20 15:45:00,2024-11-01,2024-10-20 17:05:00
17,Málaga,Madrid,80,Iberia,354.26,2024-11-03,2024-10-20 09:10:00,2024-11-03,2024-10-20 10:30:00
18,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 06:35:00,2024-11-01,2024-10-20 07:45:00
19,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 08:30:00,2024-11-03,2024-10-20 09:45:00
20,Madrid,Málaga,75,Iberia Express,354.26,2024-11-01,2024-10-20 07:20:00,2024-11-01,2024-10-20 08:35:00
21,Málaga,Madrid,80,Iberia Express,354.26,2024-11-03,2024-10-20 09:10:00,2024-11-03,2024-10-20 10:30:00
22,Madrid,Málaga,75,Iberia,354.26,2024-11-01,2024-10-20 07:20:00,2024-11-01,2024-10-20 08:35:00
23,Málaga,Madrid,80,Iberia,354.26,2024-11-03,2024-10-20 09:10:00,2024-11-03,2024-10-20 10:30:00
24,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 06:35:00,2024-11-01,2024-10-20 07:45:00
25,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 12:20:00,2024-11-03,2024-10-20 13:35:00
26,Madrid,Málaga,75,Iberia,354.26,2024-11-01,2024-10-20 11:25:00,2024-11-01,2024-10-20 12:40:00
27,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 08:30:00,2024-11-03,2024-10-20 09:45:00
28,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 10:30:00,2024-11-01,2024-10-20 11:40:00
29,Málaga,Madrid,80,Iberia,354.26,2024-11-03,2024-10-20 09:10:00,2024-11-03,2024-10-20 10:30:00
30,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 10:30:00,2024-11-01,2024-10-20 11:40:00
31,Málaga,Madrid,80,Iberia Express,354.26,2024-11-03,2024-10-20 09:10:00,2024-11-03,2024-10-20 10:30:00
32,Madrid,Málaga,75,Iberia Express,354.26,2024-11-01,2024-10-20 11:25:00,2024-11-01,2024-10-20 12:40:00
33,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 08:30:00,2024-11-03,2024-10-20 09:45:00
34,Madrid,Málaga,80,Iberia,354.26,2024-11-01,2024-10-20 15:45:00,2024-11-01,2024-10-20 17:05:00
35,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 08:30:00,2024-11-03,2024-10-20 09:45:00
36,Madrid,Málaga,80,Iberia Express,354.26,2024-11-01,2024-10-20 15:45:00,2024-11-01,2024-10-20 17:05:00
37,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 08:30:00,2024-11-03,2024-10-20 09:45:00
38,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 19:00:00,2024-11-01,2024-10-20 20:10:00
39,Málaga,Madrid,80,Iberia,354.26,2024-11-03,2024-10-20 09:10:00,2024-11-03,2024-10-20 10:30:00
40,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 19:00:00,2024-11-01,2024-10-20 20:10:00
41,Málaga,Madrid,80,Iberia Express,354.26,2024-11-03,2024-10-20 09:10:00,2024-11-03,2024-10-20 10:30:00
42,Madrid,Málaga,75,Iberia,354.26,2024-11-01,2024-10-20 07:20:00,2024-11-01,2024-10-20 08:35:00
43,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 08:30:00,2024-11-03,2024-10-20 09:45:00
44,Madrid,Málaga,75,Iberia Express,354.26,2024-11-01,2024-10-20 07:20:00,2024-11-01,2024-10-20 08:35:00
45,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 08:30:00,2024-11-03,2024-10-20 09:45:00
46,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 06:35:00,2024-11-01,2024-10-20 07:45:00
47,Málaga,Madrid,80,Iberia Express,354.26,2024-11-03,2024-10-20 09:10:00,2024-11-03,2024-10-20 10:30:00
48,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 06:35:00,2024-11-01,2024-10-20 07:45:00
49,Málaga,Madrid,80,Iberia,354.26,2024-11-03,2024-10-20 09:10:00,2024-11-03,2024-10-20 10:30:00
50,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 19:00:00,2024-11-01,2024-10-20 20:10:00
51,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 12:20:00,2024-11-03,2024-10-20 13:35:00
52,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 10:30:00,2024-11-01,2024-10-20 11:40:00
53,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 12:20:00,2024-11-03,2024-10-20 13:35:00
54,Madrid,Málaga,75,Iberia,354.26,2024-11-01,2024-10-20 07:20:00,2024-11-01,2024-10-20 08:35:00
55,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 20:50:00,2024-11-03,2024-10-20 22:05:00
56,Madrid,Málaga,75,Iberia,354.26,2024-11-01,2024-10-20 11:25:00,2024-11-01,2024-10-20 12:40:00
57,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 20:50:00,2024-11-03,2024-10-20 22:05:00
58,Madrid,Málaga,80,Iberia,354.26,2024-11-01,2024-10-20 15:45:00,2024-11-01,2024-10-20 17:05:00
59,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 20:50:00,2024-11-03,2024-10-20 22:05:00
60,Madrid,Málaga,75,Iberia Express,354.26,2024-11-01,2024-10-20 07:20:00,2024-11-01,2024-10-20 08:35:00
61,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 20:50:00,2024-11-03,2024-10-20 22:05:00
62,Madrid,Málaga,75,Iberia Express,354.26,2024-11-01,2024-10-20 11:25:00,2024-11-01,2024-10-20 12:40:00
63,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 20:50:00,2024-11-03,2024-10-20 22:05:00
64,Madrid,Málaga,80,Iberia Express,354.26,2024-11-01,2024-10-20 15:45:00,2024-11-01,2024-10-20 17:05:00
65,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 20:50:00,2024-11-03,2024-10-20 22:05:00
66,Madrid,Málaga,75,Iberia,354.26,2024-11-01,2024-10-20 11:25:00,2024-11-01,2024-10-20 12:40:00
67,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 12:20:00,2024-11-03,2024-10-20 13:35:00
68,Madrid,Málaga,75,Iberia,354.26,2024-11-01,2024-10-20 07:20:00,2024-11-01,2024-10-20 08:35:00
69,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 12:20:00,2024-11-03,2024-10-20 13:35:00
70,Madrid,Málaga,75,Iberia Express,354.26,2024-11-01,2024-10-20 07:20:00,2024-11-01,2024-10-20 08:35:00
71,Málaga,Madrid,75,Iberia Express,354.26,2024-11-03,2024-10-20 17:45:00,2024-11-03,2024-10-20 19:00:00
72,Madrid,Málaga,75,Iberia Express,354.26,2024-11-01,2024-10-20 07:20:00,2024-11-01,2024-10-20 08:35:00
73,Málaga,Madrid,75,Iberia Express,354.26,2024-11-03,2024-10-20 13:20:00,2024-11-03,2024-10-20 14:35:00
74,Madrid,Málaga,80,Iberia,354.26,2024-11-01,2024-10-20 15:45:00,2024-11-01,2024-10-20 17:05:00
75,Málaga,Madrid,75,Air Europa,354.26,2024-11-03,2024-10-20 12:20:00,2024-11-03,2024-10-20 13:35:00
76,Madrid,Málaga,80,Iberia Express,354.26,2024-11-01,2024-10-20 15:45:00,2024-11-01,2024-10-20 17:05:00
77,Málaga,Madrid,75,Iberia Express,354.26,2024-11-03,2024-10-20 13:20:00,2024-11-03,2024-10-20 14:35:00
78,Madrid,Málaga,80,Iberia Express,354.26,2024-11-01,2024-10-20 15:45:00,2024-11-01,2024-10-20 17:05:00
79,Málaga,Madrid,75,Iberia Express,354.26,2024-11-03,2024-10-20 17:45:00,2024-11-03,2024-10-20 19:00:00
80,Madrid,Málaga,75,Iberia,354.26,2024-11-01,2024-10-20 07:20:00,2024-11-01,2024-10-20 08:35:00
81,Málaga,Madrid,75,Iberia,354.26,2024-11-03,2024-10-20 13:20:00,2024-11-03,2024-10-20 14:35:00
82,Madrid,Málaga,75,Iberia,354.26,2024-11-01,2024-10-20 07:20:00,2024-11-01,2024-10-20 08:35:00
83,Málaga,Madrid,75,Iberia,354.26,2024-11-03,2024-10-20 17:45:00,2024-11-03,2024-10-20 19:00:00
84,Madrid,Málaga,75,Iberia Express,354.26,2024-11-01,2024-10-20 11:25:00,2024-11-01,2024-10-20 12:40:00
85,Málaga,Madrid,75,Iberia Express,354.26,2024-11-03,2024-10-20 13:20:00,2024-11-03,2024-10-20 14:35:00
86,Madrid,Málaga,75,Iberia Express,354.26,2024-11-01,2024-10-20 11:25:00,2024-11-01,2024-10-20 12:40:00
87,Málaga,Madrid,75,Iberia Express,354.26,2024-11-03,2024-10-20 17:45:00,2024-11-03,2024-10-20 19:00:00
88,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 06:35:00,2024-11-01,2024-10-20 07:45:00
89,Málaga,Madrid,75,Iberia,354.26,2024-11-03,2024-10-20 13:20:00,2024-11-03,2024-10-20 14:35:00
90,Madrid,Málaga,70,Air Europa,354.26,2024-11-01,2024-10-20 19:00:00,2024-11-01,2024-10-20 20:10:00
91,Málaga,Madrid,75,Iberia,354.26,2024-11-03,2024-10-20 13:20:00,2024-11-03,2024-10-20 14:35:00
92,Madrid,Málaga,80,Iberia,354.26,2024-11-01,2024-10-20 15:45:00,2024-11-01,2024-10-20 17:05:00
